,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
103,0.47299999,MWI,SubSaharian,938.3499800000001,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734862,0.51999998,22.299999,4.169077873229981
95,0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734862,2.3699999,14.1,3.503350019454956
70,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
26,0.40599999,BDI,SubSaharian,663.5700099999999,,66.9000015258789,4.1599998,,7.535565376281737
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176
47,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
28,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697
125,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872
159,,SOM,SubSaharian,1436.74,,,0.0,,
115,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265138,1.91,,3.643985748291016
179,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306
106,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,3.4000000953674316,12.6,23.9,10.59475135803223
